Nummer;Ländercode;Swiss Location ID;DiDok-Code;Prüfziffer;Bezeichnung Offiziell;Status Haltestellenname;Haltestellentyp;Type d'arrêt;Stop Type;Tipo di fermata;Bezeichnung Lang;Abkürzung;Betriebspunkt des Fahrplans;Bedienpunkt;Geschäftsorganisation Nummer;Geschäftsorganisation Abkürzung;Geschäftsorganisation Name;ISO-Ländercode;Typ reiner Betriebspunkt;Verkehrsmittel;Moyen de transport;Mezzi di trasporto;Means of Transport;Kanton;Gemeinde;Gemeindenummer BFS;Ortschaft;Swiss Business Organisation ID;BAV Kommentar;E-Koordinate;N-Koordinate;Höhe über Meer;Link auf Karte
93951;85;ch:1:sloid:93951;8593951;2;La Tour-de-Peilz, Baumes;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;876;VMCV;Transports publics Vevey-Montreux-Chillon-Villeneuve;CH;;Bus;BUS;BUS;BUS;VD;La Tour-de-Peilz;5889;La Tour-de-Peilz;ch:1:sboid:100675;;2555408.346;1144672.784;386.0;46.45190001762799, 6.858270551023588
89053;85;ch:1:sloid:89053;8589053;3;Steinibach BE, Aarestrasse;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;850;RBS Auto;Autobusbetrieb RBS;CH;;Bus;BUS;BUS;BUS;BE;Zollikofen;361;Zollikofen;ch:1:sboid:100649;;2601350.0;1203801.0;520.0;46.98527208788396, 7.456376877832045
93950;85;ch:1:sloid:93950;8593950;4;La Tour-de-Peilz, av. Muller;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;La Tour-de-Peilz, avenue Muller;;*;;876;VMCV;Transports publics Vevey-Montreux-Chillon-Villeneuve;CH;;Bus;BUS;BUS;BUS;VD;La Tour-de-Peilz;5889;La Tour-de-Peilz;ch:1:sboid:100675;;2555295.0;1145078.0;384.0;46.45553751600667, 6.856756175593525
89043;85;ch:1:sloid:89043;8589043;4;Stettlen, Linde;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;850;RBS Auto;Autobusbetrieb RBS;CH;;Bus;BUS;BUS;BUS;BE;Stettlen;358;Stettlen;ch:1:sboid:100649;;2606520.0;1200837.0;560.0;46.95858039863643, 7.524291772397792
93963;85;ch:1:sloid:93963;8593963;7;La Tour-de-Peilz, La Becque;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;876;VMCV;Transports publics Vevey-Montreux-Chillon-Villeneuve;CH;;Bus;BUS;BUS;BUS;VD;La Tour-de-Peilz;5889;La Tour-de-Peilz;ch:1:sboid:100675;;2555584.0;1144414.0;386.0;46.449583851487915, 6.86058151852687
88801;85;ch:1:sloid:88801;8588801;6;Troinex, Les Crêts;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;881;TPG;Transports Publics Genevois;CH;;Bus;BUS;BUS;BUS;GE;Troinex;6641;Troinex;ch:1:sboid:100680;;2500230.0;1113461.0;419.0;46.16521573502531, 6.146903358962371
93987;85;ch:1:sloid:93987;8593987;6;Vevey, Cour-au-Chantre;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;876;VMCV;Transports publics Vevey-Montreux-Chillon-Villeneuve;CH;;Bus;BUS;BUS;BUS;VD;Vevey;5890;Vevey;ch:1:sboid:100675;;2554433.45324;1145562.33985;378.0;46.45983615983107, 6.845494848465302
88821;85;ch:1:sloid:88821;8588821;4;Schwarzsee, Campus;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;834;TPF Auto;Service d'automobiles TPF;CH;;Bus;BUS;BUS;BUS;FR;Plaffeien;2299;Schwarzsee;ch:1:sboid:100633;;2587399.0;1168179.0;1055.0;46.664721045036494, 7.273987283735848
93961;85;ch:1:sloid:93961;8593961;1;La Tour-de-Peilz, Gregnolet;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;876;VMCV;Transports publics Vevey-Montreux-Chillon-Villeneuve;CH;;Bus;BUS;BUS;BUS;VD;La Tour-de-Peilz;5889;La Tour-de-Peilz;ch:1:sboid:100675;;2556610.0;1144648.0;406.0;46.451756145806876, 6.873912131669742
88820;85;ch:1:sloid:88820;8588820;6;Vesin, cordonnerie;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;834;TPF Auto;Service d'automobiles TPF;CH;;Bus;BUS;BUS;BUS;FR;Cugy (FR);2011;Vesin;ch:1:sboid:100633;;2556711.99231;1184030.80053;522.2;46.80602243382491, 6.87152580153779
